hi Parisa
         8087408 function calls (7989965 primitive calls) in 1849.719 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:155(NoOptionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:165(InterpolationError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:174(InterpolationMissingOptionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:188(InterpolationSyntaxError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:192(InterpolationDepthError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:204(ParsingError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:217(MissingSectionHeaderError)
        1    0.000    0.000    0.001    0.001 ConfigParser.py:231(RawConfigParser)
        2    0.000    0.000    0.000    0.000 ConfigParser.py:232(__init__)
        2    0.000    0.000    0.000    0.000 ConfigParser.py:285(read)
        6    0.000    0.000    0.000    0.000 ConfigParser.py:373(optionxform)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:558(_Chainmap)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:588(ConfigParser)
      136    0.000    0.000    0.001    0.000 ConfigParser.py:590(get)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:686(SafeConfigParser)
        1    0.000    0.000    0.002    0.002 ConfigParser.py:88(<module>)
        1    0.000    0.000    0.000    0.000 Conv3D.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Conv3D.py:46(Conv3D)
        1    0.000    0.000    0.000    0.000 ConvGrad3D.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ConvGrad3D.py:16(ConvGrad3D)
        1    0.000    0.000    0.000    0.000 ConvTransp3D.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ConvTransp3D.py:13(ConvTransp3D)
        1    0.000    0.000    0.002    0.002 Cookie.py:203(<module>)
        1    0.000    0.000    0.000    0.000 Cookie.py:229(CookieError)
      257    0.000    0.000    0.000    0.000 Cookie.py:310(<genexpr>)
        1    0.000    0.000    0.000    0.000 Cookie.py:405(Morsel)
        1    0.000    0.000    0.000    0.000 Cookie.py:558(BaseCookie)
        1    0.000    0.000    0.000    0.000 Cookie.py:682(SimpleCookie)
        1    0.000    0.000    0.000    0.000 Cookie.py:696(SerialCookie)
        1    0.000    0.000    0.000    0.000 Cookie.py:722(SmartCookie)
        1    0.000    0.000    0.000    0.000 Dialog.py:12(Dialog)
        1    0.000    0.000    0.000    0.000 Dialog.py:3(<module>)
        1    0.000    0.000    0.000    0.000 FileDialog.py:21(FileDialog)
        1    0.000    0.000    0.000    0.000 FileDialog.py:220(LoadFileDialog)
        1    0.000    0.000    0.000    0.000 FileDialog.py:234(SaveFileDialog)
        1    0.000    0.000    0.000    0.000 FileDialog.py:9(<module>)
        1    0.000    0.000    0.000    0.000 Queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Queue.py:13(Empty)
        1    0.000    0.000    0.000    0.000 Queue.py:17(Full)
        1    0.000    0.000    0.000    0.000 Queue.py:21(Queue)
        1    0.000    0.000    0.000    0.000 Queue.py:212(PriorityQueue)
        1    0.000    0.000    0.000    0.000 Queue.py:231(LifoQueue)
       56    0.000    0.000    0.000    0.000 StringIO.py:139(readline)
        2    0.000    0.000    0.000    0.000 StringIO.py:168(readlines)
      458    0.000    0.000    0.001    0.000 StringIO.py:208(write)
       23    0.000    0.000    0.000    0.000 StringIO.py:258(getvalue)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
      537    0.000    0.000    0.000    0.000 StringIO.py:38(_complain_ifclosed)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
       25    0.000    0.000    0.000    0.000 StringIO.py:54(__init__)
        1    0.000    0.000    0.000    0.000 Tkconstants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:152(Event)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1527(CallWrapper)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1547(XView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1568(YView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1589(Wm)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1794(Tk)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1922(Pack)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1961(Place)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2005(Grid)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2052(BaseWidget)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2108(Widget)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2115(Toplevel)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2143(Button)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2222(Canvas)
        1    0.000    0.000    0.000    0.000 Tkinter.py:224(Variable)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2463(Checkbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2492(Entry)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2557(Frame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2575(Label)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2597(Listbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2688(Menu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2813(Menubutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2818(Message)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2823(Radiobutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2850(Scale)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2883(Scrollbar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2923(Text)
        1    0.002    0.002    0.002    0.002 Tkinter.py:31(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3251(_setit)
        1    0.000    0.000    0.000    0.000 Tkinter.py:326(StringVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3262(OptionMenu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3299(Image)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3363(PhotoImage)
